time="2016-03-31T19:20:54-07:00" level=error msg="Found excluded entry aolbks.122.2o7.net, in ../testdata/hosts.winhelp2002.blacklist.conf\n" 
time="2016-03-31T19:20:54-07:00" level=error msg="Found excluded entry aolcamember.122.2o7.net, in ../testdata/hosts.winhelp2002.blacklist.conf\n" 
time="2016-03-31T19:20:54-07:00" level=error msg="Found excluded entry aolcg.122.2o7.net, in ../testdata/hosts.winhelp2002.blacklist.conf\n" 
time="2016-03-31T19:20:54-07:00" level=error msg="Found excluded entry aolcmp.122.2o7.net, in ../testdata/hosts.winhelp2002.blacklist.conf\n" 
time="2016-03-31T19:20:54-07:00" level=error msg="Found excluded entry aolcommem.122.2o7.net, in ../testdata/hosts.winhelp2002.blacklist.conf\n" 
time="2016-03-31T19:20:54-07:00" level=error msg="Found excluded entry aolcommvid.122.2o7.net, in ../testdata/hosts.winhelp2002.blacklist.conf\n" 
time="2016-03-31T19:20:54-07:00" level=error msg="Found excluded entry aolcsmen.122.2o7.net, in ../testdata/hosts.winhelp2002.blacklist.conf\n" 
time="2016-03-31T19:20:54-07:00" level=error msg="Found excluded entry aoldrambuie.122.2o7.net, in ../testdata/hosts.winhelp2002.blacklist.conf\n" 
time="2016-03-31T19:20:54-07:00" level=error msg="Found excluded entry aolgam.122.2o7.net, in ../testdata/hosts.winhelp2002.blacklist.conf\n" 
time="2016-03-31T19:20:54-07:00" level=error msg="Found excluded entry aolgamedaily.122.2o7.net, in ../testdata/hosts.winhelp2002.blacklist.conf\n" 
time="2016-03-31T19:20:54-07:00" level=error msg="Found excluded entry aollatblog.122.2o7.net, in ../testdata/hosts.winhelp2002.blacklist.conf\n" 
time="2016-03-31T19:20:54-07:00" level=error msg="Found excluded entry aollove.122.2o7.net, in ../testdata/hosts.winhelp2002.blacklist.conf\n" 
time="2016-03-31T19:20:54-07:00" level=error msg="Found excluded entry aolmov.122.2o7.net, in ../testdata/hosts.winhelp2002.blacklist.conf\n" 
time="2016-03-31T19:20:54-07:00" level=error msg="Found excluded entry aolmus.122.2o7.net, in ../testdata/hosts.winhelp2002.blacklist.conf\n" 
time="2016-03-31T19:20:54-07:00" level=error msg="Found excluded entry aolnews.122.2o7.net, in ../testdata/hosts.winhelp2002.blacklist.conf\n" 
time="2016-03-31T19:20:54-07:00" level=error msg="Found excluded entry aolnssearch.122.2o7.net, in ../testdata/hosts.winhelp2002.blacklist.conf\n" 
